IID	BPY	CDY	DAZ	HSFY	PRY	RBMY	TSPY	VCY	XKRY	Clade	Haplogroup	major_haplo	geographic_loc
51	3.1	3.8	3.755	2.15	2.11	13.835	32.18	2.9782739895	2.04	17	C3	C	Asia
52	3.165	3.89	4.11	2.17	2.07	10.135	36.5625	2.4899598395	2.04	6	O3	O	Asia
53	3.034257749	3.841761827	4.105	2.0493474715	2.045	7.597879282	24.54323002	2.2667814115	1.945350734	20	E1b1b1	E	Africa
54	3.22	4.715	5.085	2.275	2.1	15.055	30.2	2.129174853	1.98	4	R1 - 4	R	Europe
55	2.803867403	3.5773480665	4.365	1.921270718	2.18	15	23.439226515	2.8260869565	1.770718232	4	R1 - 4	R	Europe
56	3.4583956385	4.2016423355	5.62	2.746105919	2.425	11.355140185	36.588785045	2.5608604405	2.749221184	6	O3	O	Asia
57	3.2	4.16	3.64	2.17	1.815	8.51	28.005	2.1272365805	2.035	5	Q1	Q	Asia
58	2.575	3.78	4.59	2.1493670885	2.285	11.7721519	25.974683545	2.9053691275	1.995	2	R1 - 2	R	Europe
59	3.7	4.7002724795	4.01	2.3297002725	2.27	11.209128065	34.485	2.1389059615	2.33	20	E1b1b1	E	Africa
60	3.2920110195	4.35261708	4.315	2.3691460055	1.88	8.9944903585	37.809917355	1.780905753	2.0523415975	10	T	T	Eurasia
61	3.937596699	3.8602372355	6.195	1.9417225375	2.58	7.8984012375	31.19133574	1.79890644	1.8334192885	16	G2	G	Africa
62	3.2600157105	3.778476041	4.25	1.6967792615	2.035	9.43	30.88766693	2.246621622	1.9088766695	6	O3	O	Asia
63	3.495	4.802397869	5.615	3.043960924	2.44	11.10346359	39.565	2.306234204	2.47	16	G2	G	Africa
64	3.484766031	4.614384749	5.005	2.7426343155	2.395	12.062391685	35.6542461	2.717488789	2.05372617	11	I1	I	Europe
65	3.375	4.6772727275	4.32	2.564828614	2.07	11.972727275	34.309090905	2.850649351	2.2772727275	1	R1 - 1	R	Europe
66	2.79	3.54	4.78	1.865	2.135	7.635	29.94	2.4164540815	1.66	12	J2	J	Asia
67	3.75	5.095	4.445	2.885	2.1	12.665	40.155902	2.0150339475	2.205	18	E1b1a	E	Africa
68	3.3085714285	4.302857143	4.44	2.1274285715	2.425	10.971428575	29.69142857	2.298701299	2.0965714285	11	I1	I	Europe
69	1.095	2.74914089	1.885	1.9845360825	1.925	10.8419244	31.545	1.90893067	1.92	17	C3	C	Asia
70	5.855	5.8	8.945	2.085	2.745	11.435	34.695	3.232758621	2.225	9	L1	L	Asia
71	4.6757114495	4.73	4.925	3.117140966	2.485	11.336863005	40.86035738	1.919682259	2.9880873595	12	J2	J	Asia
72	2.8370786515	3.6516853935	3.145	1.9382022475	1.565	9.308988764	31.629213485	1.684210526	1.9494382025	19	E1b1b1a	E	Africa
73	2.700744072	4.255928046	4.165	2.103434178	2.3	13.93295176	35.44562551	1.543859649	1.9991823385	17	C3	C	Asia
74	3.823760818	5.0629425645	4.6	2.2553107785	2.25	15.37765539	31.47	1.5035523975	2.1344984265	4	R1 - 4	R	Europe
75	3.4875	4.873912948	4.0975	2.1884412285	2.31	9.1342344235	30.9275	2.1637210955	2.015	9	L1	L	Asia
76	3.0219123505	3.862549801	4.21	2.235059761	1.82	10.756972115	29.143426295	2.667870036	1.894422311	8	O1	O	Asia
77	3.165	3.935	2.695	1.804631829	1.35	11.258907365	27.416864605	1.5467345715	1.935	4	R1 - 4	R	Europe
78	2.555	3.25	4.485	1.615	2.525	7.975	31.3	2.071692145	1.475	16	G2	G	Africa
79	3.6025504785	5.2922422955	4.305	2.104144527	2.305	13.78852285	33.921360255	2.395338208	2.102550478	10	T	T	Eurasia
80	3.2468684845	3.386126704	4.835	1.9847634325	2.265	9.719326383	28.48436247	2.3041474655	1.720128308	12	J2	J	Asia
81	3.03	3.5369318185	3.67	2.237215909	1.84	12.75568182	29.01	2.2733612275	2.045	11	I1	I	Europe
82	2.412228797	3.0236686395	4.205	1.927021696	1.82	12.56	22.24852071	2.877586207	1.6903353055	2	R1 - 2	R	Europe
83	2.65529148	3.609865471	3.16	2.1390134525	1.69	9.372197309	30.33632287	2.281521014	2.0986547085	8	O2	O	Asia
84	3.825910931	4.2692307695	2.9825	2.1194331985	1.9025	15.12145749	17.12550607	3.909090909	1.7186234815	10	T	T	Eurasia
85	2.065	2.945	4.05	1.945	2.045	9.925	18.52	2.891030393	1.9	15	I2a1b	I	Europe
86	2.5190144665	3.53164557	4.1	1.5379746835	1.885	7.8933092225	15.922242315	2.3370786515	2.0777576855	15	I2a1b	I	Europe
87	2.465	3.4827099505	3.945	2.752293578	2.135	9.421312632	27.83	2.7338129495	1.9	12	J2	J	Asia
88	2.971962617	3.6705607475	3.685	2.112149533	2.22	10.46728972	26.1682243	2.3702623905	2.219626168	15	I2a1b	I	Europe
89	3.53	2.82	3.36	2.335	1.68	11.495	29.765	2.868798956	2.02	3	R1 - 3	R	Europe
90	3.1820499745	3.946965834	4.045	2.141764406	1.985	9.1330953595	35.15553289	2.3009281875	2.01172871	14	E1b1a1a1g1a	E	Africa
91	2.73	3.510948905	4.105	1.919708029	2.05	8.868613139	29.945	2.16	1.715	7	O2	O	Asia
92	3.515981735	5.5479452055	10.273698265	2.3401826485	2.125	14.429223745	33.21917808	2.202004626	2.205479452	5	Q1	Q	Asia
93	3.538011696	4.736842105	6.115	2.16374269	2.26	13.97660819	26.666666665	2.769230769	2.173489279	3	R1 - 3	R	Europe
94	5.79	4.8825503355	6.495	2.030201342	2.37	11.89597315	29.865	2.8422029705	2.075	12	J2	J	Asia
95	3.103448276	3.986826811	3.57	1.975978303	1.93	10.844633865	35.335141415	2.1894934335	1.859744285	14	E1b1a1a1g1a	E	Africa
96	3.535	5.18	3.66	2.655	1.68	12.355	36.67	2.113768584	2.2	9	L1	L	Asia
97	3.075	3.975	3.87	1.985	1.79	9.435	32.5	1.830889874	2.045	9	L1	L	Asia
98	2.69352071	3.6530028205	3.7675	2.0521415145	1.9	8.430998728	29.5745858	2.28452024	1.9383579885	8	O1	O	Asia
99	2.807142857	4.9339285715	4.86	2.2660714285	2.745	8.9946428575	34.92857143	3.185936934	1.9875	7	O2	O	Asia
100	5.685	4.615	3.125	1.904856688	1.54	8.9749203825	25.225	1.5196078435	1.775	8	O1	O	Asia
